#######################################################
# Number of atoms:       400
# Maximum num of neighbours:         6
#######################################################
#  iatom    jatom  itype  jtype        r_{ij}^x        r_{ij}^y        r_{ij}^z        D_{ij}^x        D_{ij}^y        D_{ij}^z           |rij|
       8      388     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       8      387     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       9       10     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       9       30     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       9       29     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
       9        8     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       9      389     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
       9      388     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      10       11     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      10       31     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      10       30     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      10        9     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      10      390     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      10      389     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      11       12     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      11       32     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      11       31     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      11       10     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      11      391     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      11      390     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      12       13     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      12       33     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      12       32     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      12       11     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      12      392     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      12      391     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      13       14     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      13       34     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      13       33     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      13       12     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      13      393     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      13      392     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      14       15     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      14       35     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      14       34     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      14       13     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      14      394     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      14      393     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      15       16     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      15       36     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      15       35     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      15       14     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      15      395     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      15      394     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      16       17     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      16       37     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      16       36     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      16       15     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      16      396     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      16      395     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      17       18     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      17       38     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      17       37     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      17       16     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      17      397     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      17      396     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      18       19     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      18       39     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      18       38     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      18       17     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      18      398     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      18      397     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      19       20     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      19       40     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      19       39     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      19       18     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      19      399     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      19      398     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      20        1     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      20       21     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      20       40     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      20       19     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      20      400     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      20      399     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      21       22     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      21       42     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      21       41     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      21       40     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      21        1     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      21       20     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      22       23     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      22       43     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      22       42     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      22       21     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      22        2     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      22        1     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      23       24     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      23       44     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      23       43     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      23       22     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      23        3     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      23        2     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      24       25     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      24       45     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      24       44     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      24       23     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      24        4     1     1     -5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      24        3     1     1      5.0000E-01      8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      25       26     1     1     -1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      25       46     1     1     -5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
      25       45     1     1      5.0000E-01     -8.6603E-01      0.0000E+00      0.0000E+00      0.0000E+00     -8.0000E-01      1.0000E+00
      25       24     1     1      1.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      0.0000E+00      8.0000E-01      1.0000E+00
