   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
    6200  7.91502204E-02 -1.12540595E-01 -6.33602104E-02  1.51474946E-01  0.00000000E+00
    6300  3.12387933E-02 -8.82098257E-03  1.35189889E-01  1.39032291E-01  0.00000000E+00
    6400 -8.73735712E-02  4.54949306E-02 -1.65890380E-01  1.92934050E-01  0.00000000E+00
    6500  2.45760962E-02  4.60540393E-02 -1.14441448E-01  1.25784753E-01  0.00000000E+00
    6600  8.50422051E-02  8.02758044E-02 -1.33564218E-01  1.77526848E-01  0.00000000E+00
    6700 -6.66745590E-02  5.29624453E-02  6.90620510E-02  1.09636145E-01  0.00000000E+00
    6800  4.67323211E-02 -5.78123327E-02 -1.52936197E-01  1.70046041E-01  0.00000000E+00
    6900  1.05706592E-01 -7.64187709E-02  1.59588417E-01  2.06112044E-01  0.00000000E+00
    7000 -1.30294498E-01  4.45491949E-02 -2.26383610E-03  1.37718597E-01  0.00000000E+00
    7100 -3.69830338E-02 -1.27942387E-01 -1.40578664E-02  1.33920210E-01  0.00000000E+00
    7200  5.35189879E-02  9.17150848E-02 -2.58813233E-02  1.09296760E-01  0.00000000E+00
    7300 -6.10250606E-02  4.43445794E-02  4.08228949E-02  8.57730056E-02  0.00000000E+00
    7400  2.12180964E-01 -4.11794611E-02 -3.29491986E-02  2.18637049E-01  0.00000000E+00
    7500 -1.03936448E-01  1.27049772E-01  7.92149915E-02  1.82262022E-01  0.00000000E+00
    7600  2.87709313E-02  8.74021070E-03 -6.78250979E-02  7.41916550E-02  0.00000000E+00
    7700  5.79435080E-02  1.21241849E-01 -1.23090176E-01  1.82231247E-01  0.00000000E+00
    7800  9.45198956E-02 -1.38653914E-02  9.09708081E-02  1.31916442E-01  0.00000000E+00
    7900  1.00399135E-01 -8.84918757E-02 -5.43945669E-02  1.44463031E-01  0.00000000E+00
    8000  2.15979102E-01  3.64201335E-02 -5.49603389E-02  2.25818594E-01  0.00000000E+00
    8100  9.54356777E-03  1.64088506E-01  1.19985870E-01  2.03501171E-01  0.00000000E+00
    8200  3.19831203E-02  4.51849079E-03 -1.08589905E-01  1.13292119E-01  0.00000000E+00
    8300  1.32737312E-02  4.27141689E-02  1.03205172E-01  1.12481108E-01  0.00000000E+00
    8400 -4.00156516E-02  1.46766811E-02 -3.80932278E-02  5.71642488E-02  0.00000000E+00
    8500  9.24027995E-02  5.19262941E-02  1.07196315E-01  1.50750348E-01  0.00000000E+00
    8600  7.97714674E-02  1.32828562E-01  2.49034621E-01  2.93300454E-01  0.00000000E+00
    8700  4.62671098E-02 -2.58370773E-02 -8.23737077E-02  9.79470660E-02  0.00000000E+00
    8800 -1.02397569E-02 -1.53173755E-01 -1.07995885E-01  1.87696998E-01  0.00000000E+00
    8900 -8.37166635E-02  3.15193292E-02  5.16385267E-02  1.03288360E-01  0.00000000E+00
    9000 -9.49110346E-02  9.00804095E-02  1.64330425E-01  2.10064450E-01  0.00000000E+00
    9100 -9.61644239E-02  1.38120048E-01  7.14616696E-02  1.82842868E-01  0.00000000E+00
    9200 -5.11373528E-02  2.99987132E-02  1.44077442E-02  6.10125785E-02  0.00000000E+00
    9300 -2.42038034E-01  1.94424710E-02  4.35868261E-02  2.46698664E-01  0.00000000E+00
    9400  3.30766734E-03 -3.36124473E-03  2.02675000E-01  2.02729855E-01  0.00000000E+00
    9500 -5.14466753E-03 -3.82275476E-02 -3.45664264E-02  5.17943128E-02  0.00000000E+00
    9600  1.15220320E-01 -1.11462315E-01 -1.32873284E-01  2.08218346E-01  0.00000000E+00
    9700 -4.60165444E-03 -1.77680854E-01  2.14736787E-03  1.77753403E-01  0.00000000E+00
    9800 -7.82946766E-02  2.01944763E-01  1.65106849E-01  2.72345397E-01  0.00000000E+00
    9900  7.00894678E-02  1.43128626E-01 -5.24488744E-02  1.67777298E-01  0.00000000E+00
   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -1.55084729E-01 -1.31147713E-01 -4.37110717E-03  2.03150442E-01  0.00000000E+00
     100 -5.28928773E-01 -1.87608901E-01  6.86734107E-02  5.65401436E-01  0.00000000E+00
     200 -6.76342913E-01 -2.27285154E-01  1.06550636E-01  7.21423118E-01  0.00000000E+00
     300 -7.45069334E-01 -1.61443683E-01  1.18922938E-01  7.71579575E-01  0.00000000E+00
     400 -7.98087737E-01 -2.36741415E-01  3.43527631E-02  8.33169038E-01  0.00000000E+00
     500 -8.17557084E-01 -3.10115749E-01  6.23578619E-02  8.76618427E-01  0.00000000E+00
     600 -8.13209063E-01 -2.59960225E-01  5.08593721E-02  8.55263103E-01  0.00000000E+00
     700 -8.01977358E-01 -3.19496812E-01  4.23073084E-02  8.64312330E-01  0.00000000E+00
     800 -8.17890785E-01 -2.93107639E-01 -5.00411010E-04  8.68825457E-01  0.00000000E+00
     900 -8.38550411E-01 -2.68715125E-01 -2.26087797E-02  8.80843782E-01  0.00000000E+00
    1000 -8.37701475E-01 -2.72784479E-01 -4.08334154E-04  8.80996765E-01  0.00000000E+00
    1100 -8.33529489E-01 -2.60677206E-01 -6.88983417E-03  8.73367897E-01  0.00000000E+00
    1200 -7.96430451E-01 -3.51776956E-01  1.08903153E-02  8.70727907E-01  0.00000000E+00
    1300 -8.18185910E-01 -3.04122723E-01  1.78749724E-02  8.73062614E-01  0.00000000E+00
    1400 -8.31054782E-01 -3.27703478E-01  2.39472477E-02  8.93652668E-01  0.00000000E+00
    1500 -8.28510794E-01 -2.92768616E-01 -7.04748204E-03  8.78745279E-01  0.00000000E+00
    1600 -8.55437453E-01 -2.75745999E-01  1.32340221E-02  8.98879431E-01  0.00000000E+00
    1700 -8.14204297E-01 -3.50494384E-01  6.91142828E-02  8.89129763E-01  0.00000000E+00
    1800 -8.12470218E-01 -3.90859256E-01  7.13054439E-02  9.04413224E-01  0.00000000E+00
    1900 -7.40429624E-01 -5.02826997E-01  8.09339510E-02  8.98677540E-01  0.00000000E+00
    2000 -7.91431311E-01 -4.16086977E-01  9.42143372E-02  8.99093006E-01  0.00000000E+00
    2100 -7.96116531E-01 -4.06589737E-01  1.24609143E-01  9.02576415E-01  0.00000000E+00
    2200 -7.99292210E-01 -4.12421684E-01  1.62857027E-01  9.14047096E-01  0.00000000E+00
    2300 -7.01088378E-01 -5.21343307E-01  2.01371686E-01  8.96590383E-01  0.00000000E+00
    2400 -6.77592215E-01 -5.33116990E-01  2.53084796E-01  8.98552641E-01  0.00000000E+00
    2500 -6.71063561E-01 -5.31113134E-01  2.18262864E-01  8.83202209E-01  0.00000000E+00
    2600 -7.05246303E-01 -4.66113437E-01  2.26225159E-01  8.75106797E-01  0.00000000E+00
    2700 -7.17773438E-01 -4.86369695E-01  2.42556756E-01  9.00326589E-01  0.00000000E+00
    2800 -6.87861357E-01 -5.30793582E-01  2.35704255E-01  9.00250837E-01  0.00000000E+00
    2900 -6.35365828E-01 -5.72844703E-01  2.73815255E-01  8.98229138E-01  0.00000000E+00
    3000 -6.71796813E-01 -5.80402669E-01  1.79520299E-01  9.05762526E-01  0.00000000E+00
    3100 -6.68949401E-01 -5.67954751E-01  1.74705184E-01  8.94755722E-01  0.00000000E+00
    3200 -6.40229789E-01 -6.00210375E-01  1.94953363E-01  8.98973576E-01  0.00000000E+00
    3300 -6.36933995E-01 -6.20365239E-01  1.75288268E-01  9.06236129E-01  0.00000000E+00
    3400 -6.28978100E-01 -5.55551575E-01  2.49529848E-01  8.75509079E-01  0.00000000E+00
    3500 -5.99302864E-01 -6.02619689E-01  2.26700964E-01  8.79606582E-01  0.00000000E+00
    3600 -6.50902825E-01 -5.60320178E-01  2.59497974E-01  8.97202535E-01  0.00000000E+00
    3700 -6.73170443E-01 -5.34907814E-01  2.83559839E-01  9.05367880E-01  0.00000000E+00
    3800 -6.74413179E-01 -5.00955606E-01  2.80721410E-01  8.85773202E-01  0.00000000E+00
    3900 -5.76429364E-01 -5.53010916E-01  4.00958038E-01  8.93789256E-01  0.00000000E+00
    4000 -5.73621346E-01 -5.69085159E-01  4.00330566E-01  9.01756025E-01  0.00000000E+00
    4100 -5.87436512E-01 -5.55357854E-01  3.66322378E-01  8.87522443E-01  0.00000000E+00
    4200 -6.14848931E-01 -5.23791301E-01  3.64224657E-01  8.86033936E-01  0.00000000E+00
    4300 -6.22584608E-01 -5.29239524E-01  3.40979247E-01  8.85422450E-01  0.00000000E+00
    4400 -5.55352698E-01 -5.22471531E-01  4.18492578E-01  8.69786846E-01  0.00000000E+00
    4500 -5.09767626E-01 -5.32408489E-01  4.82562434E-01  8.81015513E-01  0.00000000E+00
    4600 -5.33100870E-01 -5.31518066E-01  4.86055860E-01  8.96079400E-01  0.00000000E+00
    4700 -5.43427710E-01 -4.37547363E-01  5.62522788E-01  8.96210499E-01  0.00000000E+00
    4800 -5.86207789E-01 -3.43225505E-01  5.92525547E-01  9.01404373E-01  0.00000000E+00
    4900 -6.17071343E-01 -3.54477301E-01  5.74670764E-01  9.14700872E-01  0.00000000E+00
    5000 -6.43263008E-01 -3.90100375E-01  4.90887076E-01  8.98296010E-01  0.00000000E+00
    5100 -6.37953068E-01 -4.08853791E-01  5.02684333E-01  9.09305822E-01  0.00000000E+00
    5200 -6.54697280E-01 -3.48617696E-01  5.13701531E-01  9.02248352E-01  0.00000000E+00
    5300 -6.79447872E-01 -3.57299392E-01  4.54110764E-01  8.91924241E-01  0.00000000E+00
    5400 -6.62385418E-01 -4.15932289E-01  4.02917742E-01  8.79827720E-01  0.00000000E+00
    5500 -7.11469202E-01 -3.60869960E-01  3.65780226E-01  8.77616503E-01  0.00000000E+00
    5600 -7.51337216E-01 -3.15553404E-01  3.32635804E-01  8.80186424E-01  0.00000000E+00
    5700 -7.77013108E-01 -2.56222643E-01  3.65855054E-01  8.96241783E-01  0.00000000E+00
    5800 -7.94639755E-01 -2.62397714E-01  3.60593073E-01  9.11225693E-01  0.00000000E+00
    5900 -7.78918322E-01 -3.19895070E-01  3.62834695E-01  9.16894554E-01  0.00000000E+00
    6000 -7.11870586E-01 -3.53524568E-01  4.03730411E-01  8.91480564E-01  0.00000000E+00
    6100 -6.90490182E-01 -2.91854358E-01  4.76934413E-01  8.88494283E-01  0.00000000E+00
    6200 -6.94480340E-01 -4.18601538E-01  3.95868503E-01  9.02353623E-01  0.00000000E+00
    6300 -7.33339020E-01 -3.74540371E-01  4.22423113E-01  9.25477117E-01  0.00000000E+00
    6400 -7.23607802E-01 -3.52545505E-01  4.05600045E-01  9.01336774E-01  0.00000000E+00
    6500 -6.85982354E-01 -3.83723592E-01  4.21179774E-01  8.91744351E-01  0.00000000E+00
    6600 -7.24750920E-01 -3.92693796E-01  3.75547268E-01  9.05819001E-01  0.00000000E+00
    6700 -6.92422319E-01 -4.30876217E-01  3.86036234E-01  9.02289841E-01  0.00000000E+00
    6800 -7.25574880E-01 -4.68728732E-01  2.82260282E-01  9.08755411E-01  0.00000000E+00
    6900 -7.02006860E-01 -4.70455156E-01  3.10359855E-01  9.00258254E-01  0.00000000E+00
    7000 -6.99791272E-01 -4.72757618E-01  2.87612486E-01  8.92148267E-01  0.00000000E+00
    7100 -6.90201722E-01 -4.53079428E-01  2.94952421E-01  8.76730470E-01  0.00000000E+00
    7200 -7.10558377E-01 -4.38575886E-01  3.38689307E-01  9.01084048E-01  0.00000000E+00
    7300 -7.01301924E-01 -4.14891990E-01  3.44296794E-01  8.84590320E-01  0.00000000E+00
    7400 -6.96571333E-01 -4.37585390E-01  3.45101765E-01  8.92069406E-01  0.00000000E+00
    7500 -7.22205794E-01 -4.13793777E-01  3.31635025E-01  8.95984536E-01  0.00000000E+00
    7600 -6.79189345E-01 -4.39595775E-01  3.08452070E-01  8.65843687E-01  0.00000000E+00
