################################################################################
# File type: R
# Simulation type: M
# Number of atoms:       400
# Number of ensembles:         1
################################################################################
   #iter     ens   iatom           |Mom|             M_x             M_y             M_z
      -1       1      69    1.00000000E+00  2.71098916E-01 -7.32924775E-01  6.23960457E-01
      -1       1      70    1.00000000E+00  6.34998177E-01  3.77161874E-01 -6.74185609E-01
      -1       1      71    1.00000000E+00  6.05224968E-01 -1.27866174E-01 -7.85718130E-01
      -1       1      72    1.00000000E+00  6.89672493E-01 -1.32408066E-02 -7.24000368E-01
      -1       1      73    1.00000000E+00  6.94737925E-01 -6.84208429E-01  2.21806314E-01
      -1       1      74    1.00000000E+00  1.28307013E-01 -8.19290134E-01  5.58838963E-01
      -1       1      75    1.00000000E+00  2.52051463E-01 -9.63807337E-01 -8.68647088E-02
      -1       1      76    1.00000000E+00  5.85635103E-01 -6.98131874E-01 -4.11877910E-01
      -1       1      77    1.00000000E+00  3.44499852E-01 -5.53769837E-01 -7.58062544E-01
      -1       1      78    1.00000000E+00  7.39994156E-01  1.71345220E-01 -6.50422528E-01
      -1       1      79    1.00000000E+00  7.85848358E-01  6.14142038E-01 -7.26079541E-02
      -1       1      80    1.00000000E+00  9.30825227E-01  2.83377407E-01 -2.30784841E-01
      -1       1      81    1.00000000E+00  8.94731259E-01  4.39274005E-01  8.05873574E-02
      -1       1      82    1.00000000E+00  8.04598341E-01  2.49968952E-01 -5.38643697E-01
      -1       1      83    1.00000000E+00  4.31813891E-01  8.85196998E-01 -1.73098347E-01
      -1       1      84    1.00000000E+00  6.06899377E-01  7.56926373E-01 -2.42354310E-01
      -1       1      85    1.00000000E+00 -8.37737234E-01  3.68440312E-01  4.03048461E-01
      -1       1      86    1.00000000E+00 -3.61892676E-01 -1.43782561E-01  9.21064746E-01
      -1       1      87    1.00000000E+00 -3.77084634E-01 -1.22678717E-01  9.18018034E-01
      -1       1      88    1.00000000E+00 -6.47440750E-01 -6.40817342E-02  7.59416886E-01
      -1       1      89    1.00000000E+00  3.24043056E-01 -9.19174523E-01  2.23862223E-01
      -1       1      90    1.00000000E+00  4.65635522E-01 -4.43462831E-01  7.65848730E-01
      -1       1      91    1.00000000E+00  7.95081545E-01 -5.86797099E-01 -1.53344390E-01
      -1       1      92    1.00000000E+00  3.89513805E-01 -8.00319718E-01  4.55815034E-01
      -1       1      93    1.00000000E+00  7.11832594E-01 -6.86153926E-01 -1.49957158E-01
      -1       1      94    1.00000000E+00  2.31406576E-01 -9.67754554E-01 -9.95093982E-02
      -1       1      95    1.00000000E+00  2.68303451E-01 -5.67437703E-01 -7.78477817E-01
      -1       1      96    1.00000000E+00  8.72811499E-02 -1.98677134E-01 -9.76170783E-01
      -1       1      97    1.00000000E+00  1.79703343E-01  2.92642738E-01 -9.39184187E-01
      -1       1      98    1.00000000E+00 -5.08426367E-01  6.72398211E-02 -8.58476229E-01
      -1       1      99    1.00000000E+00  6.58515653E-01  6.43556350E-01 -3.90118392E-01
      -1       1     100    1.00000000E+00  3.22103257E-01  7.96160287E-01 -5.12228746E-01
      -1       1     101    1.00000000E+00  4.68447822E-01  6.87987537E-01  5.54283130E-01
      -1       1     102    1.00000000E+00  7.43326230E-01  1.43167389E-01  6.53428814E-01
      -1       1     103    1.00000000E+00  8.19226074E-01 -4.40761930E-01  3.66875402E-01
      -1       1     104    1.00000000E+00  3.51938122E-01  9.34945632E-01  4.49023818E-02
      -1       1     105    1.00000000E+00  3.09515246E-01  2.59554617E-01  9.14785064E-01
      -1       1     106    1.00000000E+00 -7.78087427E-01  1.50907232E-01  6.09759759E-01
      -1       1     107    1.00000000E+00 -6.51615951E-01 -6.01029508E-01  4.62774441E-01
      -1       1     108    1.00000000E+00 -8.07540749E-02 -9.95319685E-01  5.30801592E-02
      -1       1     109    1.00000000E+00 -5.59348074E-02 -2.47605070E-01  9.67245071E-01
      -1       1     110    1.00000000E+00  9.10157978E-01  1.15720555E-01 -3.97770296E-01
      -1       1     111    1.00000000E+00  6.68898464E-01 -7.28816669E-01 -1.46291173E-01
      -1       1     112    1.00000000E+00  9.06310388E-01 -1.26109484E-01  4.03358252E-01
      -1       1     113    1.00000000E+00  5.75692390E-01 -8.17342056E-01 -2.30268356E-02
      -1       1     114    1.00000000E+00  1.76960192E-01 -5.19441971E-01 -8.35981536E-01
      -1       1     115    1.00000000E+00 -8.64810465E-02 -7.26154236E-01 -6.82071150E-01
      -1       1     116    1.00000000E+00 -5.88124597E-02 -2.83786029E-01 -9.57082329E-01
      -1       1     117    1.00000000E+00 -9.62069942E-02 -2.58154520E-02 -9.95026521E-01
      -1       1     118    1.00000000E+00 -5.61803570E-01  7.82025293E-01 -2.69839194E-01
      -1       1     119    1.00000000E+00  7.72181332E-01  6.03516580E-01  1.98755448E-01
      -1       1     120    1.00000000E+00  6.34998177E-01  3.77161874E-01 -6.74185609E-01
      -1       1     121    1.00000000E+00  6.18338803E-01  7.01209803E-01  3.54911169E-01
      -1       1     122    1.00000000E+00  7.26966875E-01  6.52359789E-01  2.14349875E-01
      -1       1     123    1.00000000E+00  6.37475709E-01  4.06548223E-01 -6.54479383E-01
      -1       1     124    1.00000000E+00  7.55026509E-01 -6.46832549E-01  1.07436609E-01
      -1       1     125    1.00000000E+00 -1.56979536E-01 -9.47796352E-01 -2.77559904E-01
      -1       1     126    1.00000000E+00 -1.85018681E-01 -6.43468135E-01  7.42776445E-01
      -1       1     127    1.00000000E+00 -1.60351058E-01  6.17205410E-01  7.70288920E-01
      -1       1     128    1.00000000E+00 -1.57213912E-01 -7.65011134E-01  6.24533226E-01
      -1       1     129    1.00000000E+00 -3.80529785E-01 -5.92602142E-01  7.09943508E-01
      -1       1     130    1.00000000E+00  1.36429143E-01  3.76724275E-01  9.16223723E-01
      -1       1     131    1.00000000E+00  9.29493927E-01  3.66276554E-01 -4.33880835E-02
      -1       1     132    1.00000000E+00  9.56271827E-01  2.83700145E-03  2.92465628E-01
      -1       1     133    1.00000000E+00  2.76779617E-01 -8.64998780E-01 -4.18533337E-01
      -1       1     134    1.00000000E+00  3.87671490E-01 -7.90813298E-01  4.73629754E-01
      -1       1     135    1.00000000E+00  5.11782948E-01 -6.39290680E-01 -5.73921285E-01
      -1       1     136    1.00000000E+00  6.80543829E-01 -5.43017669E-01 -4.91926730E-01
      -1       1     137    1.00000000E+00  8.89603023E-01  2.45772368E-01 -3.84970655E-01
      -1       1     138    1.00000000E+00 -4.28042208E-01  8.46774885E-01 -3.15835656E-01
      -1       1     139    1.00000000E+00 -3.33494769E-01  9.41911159E-01 -3.98071253E-02
      -1       1     140    1.00000000E+00 -8.41989190E-01  7.56986895E-02  5.34157199E-01
      -1       1     141    1.00000000E+00 -4.78656140E-01  8.07226639E-01  3.45359889E-01
      -1       1     142    1.00000000E+00  3.64694367E-01  6.80680482E-01  6.35351950E-01
      -1       1     143    1.00000000E+00  7.55805059E-01  6.54188199E-01  2.82225584E-02
      -1       1     144    1.00000000E+00  9.51713720E-01 -9.63897560E-02  2.91461849E-01
      -1       1     145    1.00000000E+00  7.45193853E-01  6.66307395E-01  2.68435399E-02
      -1       1     146    1.00000000E+00 -1.51921169E-01  2.93632813E-01  9.43768896E-01
      -1       1     147    1.00000000E+00  2.32705588E-01 -2.08902624E-01  9.49846200E-01
      -1       1     148    1.00000000E+00  3.02129644E-01 -7.82975386E-01  5.43752907E-01
      -1       1     149    1.00000000E+00  4.65292575E-01 -1.02669803E-01  8.79182422E-01
      -1       1     150    1.00000000E+00 -4.00913032E-02 -6.24620405E-01  7.79898735E-01
      -1       1     151    1.00000000E+00  7.43986382E-01 -4.46622884E-01  4.97003282E-01
      -1       1     152    1.00000000E+00  8.71757801E-01 -7.66620396E-02  4.83902127E-01
      -1       1     153    1.00000000E+00  8.36947356E-01 -5.46150954E-01 -3.51889059E-02
      -1       1     154    1.00000000E+00  4.10359873E-01 -5.84545335E-01 -6.99936802E-01
