#  Iter.   M_avg.    U_Bind.    Susc.
    9671  0.941946  0.665360  0.552301
    9681  0.941985  0.665360  0.552445
    9691  0.942027  0.665359  0.552584
    9701  0.942072  0.665359  0.552719
    9711  0.942115  0.665359  0.552849
    9721  0.942119  0.665359  0.552973
    9731  0.942141  0.665359  0.553090
    9741  0.942186  0.665359  0.553204
    9751  0.942249  0.665358  0.553316
    9761  0.942282  0.665358  0.553423
    9771  0.942326  0.665358  0.553526
    9781  0.942345  0.665358  0.553624
    9791  0.942365  0.665358  0.553716
    9801  0.942362  0.665358  0.553802
    9811  0.942369  0.665358  0.553882
    9821  0.942359  0.665358  0.553956
    9831  0.942288  0.665357  0.554031
    9841  0.942206  0.665357  0.554108
    9851  0.942137  0.665357  0.554185
    9861  0.942109  0.665357  0.554258
    9871  0.942142  0.665357  0.554326
    9881  0.942052  0.665357  0.554398
    9891  0.941986  0.665357  0.554470
    9901  0.941928  0.665357  0.554541
    9911  0.941885  0.665357  0.554608
    9921  0.941784  0.665357  0.554683
    9931  0.941726  0.665356  0.554755
    9941  0.941534  0.665356  0.554866
    9951  0.941373  0.665356  0.555001
    9961  0.941303  0.665356  0.555136
    9971  0.941164  0.665355  0.555288
    9981  0.941128  0.665355  0.555435
    9991  0.941141  0.665355  0.555576
    9001  0.176382  0.276918 14.736011
    9011  0.176587  0.277105 14.734004
    9021  0.177005  0.277299 14.732322
    9031  0.177242  0.277502 14.730600
    9041  0.177113  0.277698 14.728720
    9051  0.177114  0.277894 14.726636
    9061  0.177147  0.278091 14.724357
    9071  0.177184  0.278289 14.721888
    9081  0.176896  0.278476 14.719477
    9091  0.176525  0.278650 14.717285
    9101  0.176311  0.278815 14.715039
    9111  0.176258  0.278977 14.712614
    9121  0.176285  0.279141 14.710007
    9131  0.176404  0.279310 14.707264
    9141  0.176654  0.279487 14.704528
    9151  0.176861  0.279671 14.701742
    9161  0.177011  0.279862 14.698851
    9171  0.177131  0.280057 14.695833
    9181  0.177268  0.280256 14.692704
