   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
    6300 -4.70141686E-06 -3.74392897E-06  6.39452180E-01  6.39452180E-01  0.00000000E+00
    6400  4.28375385E-06 -2.42701588E-06  6.39459998E-01  6.39459998E-01  0.00000000E+00
    6500  4.71464713E-07  2.44116012E-06  6.39456662E-01  6.39456662E-01  0.00000000E+00
    6600 -4.32735300E-06  3.75970409E-06  6.39462735E-01  6.39462735E-01  0.00000000E+00
    6700  6.72909577E-06 -4.70600740E-06  6.39459217E-01  6.39459217E-01  0.00000000E+00
    6800 -6.96773306E-06  5.28427029E-06  6.39448832E-01  6.39448833E-01  0.00000000E+00
    6900  5.35143493E-07  1.99283254E-06  6.39454953E-01  6.39454953E-01  0.00000000E+00
    7000 -6.30142806E-07  5.01399528E-06  6.39455979E-01  6.39455979E-01  0.00000000E+00
    7100 -3.67776451E-06 -2.66898633E-08  6.39462896E-01  6.39462896E-01  0.00000000E+00
    7200  5.38776352E-07 -6.50823261E-06  6.39459760E-01  6.39459760E-01  0.00000000E+00
    7300  1.52899543E-06  1.67251531E-06  6.39456453E-01  6.39456453E-01  0.00000000E+00
    7400  4.79585595E-06 -4.71475965E-06  6.39452995E-01  6.39452995E-01  0.00000000E+00
    7500 -2.93307119E-07 -2.33906447E-07  6.39448031E-01  6.39448031E-01  0.00000000E+00
    7600 -1.08655235E-06  3.88527843E-06  6.39431560E-01  6.39431560E-01  0.00000000E+00
    7700 -4.78459002E-06  3.36181360E-07  6.39431140E-01  6.39431140E-01  0.00000000E+00
    7800  4.06811002E-06  1.01170211E-06  6.39437105E-01  6.39437105E-01  0.00000000E+00
    7900 -3.80745972E-06 -5.72705745E-06  6.39440084E-01  6.39440084E-01  0.00000000E+00
    8000  1.21939846E-06 -3.68663902E-06  6.39443059E-01  6.39443059E-01  0.00000000E+00
    8100 -2.48594355E-07  5.22114318E-06  6.39447243E-01  6.39447243E-01  0.00000000E+00
    8200 -1.78692882E-06 -5.44392721E-06  6.39452307E-01  6.39452307E-01  0.00000000E+00
    8300 -6.02119150E-07 -5.48712018E-06  6.39443502E-01  6.39443502E-01  0.00000000E+00
    8400  1.79669713E-06  4.15727971E-06  6.39437082E-01  6.39437082E-01  0.00000000E+00
    8500  8.60644758E-06 -4.28010368E-06  6.39431858E-01  6.39431858E-01  0.00000000E+00
    8600 -6.64411177E-06 -1.07558776E-06  6.39420889E-01  6.39420889E-01  0.00000000E+00
    8700 -1.14545535E-06 -7.51584891E-06  6.39409123E-01  6.39409123E-01  0.00000000E+00
    8800 -2.94685373E-06  3.20586586E-06  6.39400943E-01  6.39400943E-01  0.00000000E+00
    8900  2.74750425E-06 -6.38296836E-06  6.39390139E-01  6.39390139E-01  0.00000000E+00
    9000  5.19583506E-07  7.20907041E-06  6.39392501E-01  6.39392501E-01  0.00000000E+00
    9100  4.55328180E-07 -3.37907588E-06  6.39391591E-01  6.39391591E-01  0.00000000E+00
    9200  9.57657268E-09  5.69850509E-07  6.39393822E-01  6.39393822E-01  0.00000000E+00
    9300  5.82787964E-07  2.63430549E-07  6.39385675E-01  6.39385675E-01  0.00000000E+00
    9400  1.53984323E-06 -2.48467489E-06  6.39393307E-01  6.39393307E-01  0.00000000E+00
    9500 -1.84481736E-06 -1.71594307E-06  6.39393957E-01  6.39393957E-01  0.00000000E+00
    9600 -2.29021394E-06  8.59864225E-06  6.39395109E-01  6.39395109E-01  0.00000000E+00
    9700 -3.43916806E-06  5.04144687E-06  6.39404974E-01  6.39404974E-01  0.00000000E+00
    9800 -2.10014229E-06 -6.56900983E-06  6.39408673E-01  6.39408673E-01  0.00000000E+00
    9900 -2.75840684E-06  2.11442270E-06  6.39393884E-01  6.39393884E-01  0.00000000E+00
   10000  3.38726765E-06  1.01875561E-06  6.39394999E-01  6.39394999E-01  0.00000000E+00
   10100 -4.73410515E-06 -2.53339503E-06  6.39403984E-01  6.39403985E-01  0.00000000E+00
   10200 -6.79431511E-08 -4.60249637E-06  6.39399633E-01  6.39399633E-01  0.00000000E+00
   10300 -9.55018990E-07 -3.01411117E-06  6.39391104E-01  6.39391104E-01  0.00000000E+00
   10400 -8.77767628E-07  3.17556507E-08  6.39397933E-01  6.39397933E-01  0.00000000E+00
   10500  1.17641995E-06 -3.05820687E-06  6.39399155E-01  6.39399155E-01  0.00000000E+00
   10600 -6.33093030E-07 -7.61555021E-07  6.39395989E-01  6.39395989E-01  0.00000000E+00
   10700 -2.04305386E-06 -1.05856209E-06  6.39389634E-01  6.39389634E-01  0.00000000E+00
   10800 -1.27606600E-06  2.76299888E-06  6.39400553E-01  6.39400553E-01  0.00000000E+00
   10900  2.89715633E-06  7.84039863E-07  6.39400460E-01  6.39400460E-01  0.00000000E+00
   11000  1.01560597E-06  3.46141823E-06  6.39409697E-01  6.39409697E-01  0.00000000E+00
   11100  4.38975389E-06 -2.33502868E-06  6.39417775E-01  6.39417775E-01  0.00000000E+00
   11200  2.78982110E-06 -2.25059217E-06  6.39420224E-01  6.39420224E-01  0.00000000E+00
   11300  4.19035542E-07 -1.92874610E-06  6.39421833E-01  6.39421833E-01  0.00000000E+00
   11400 -1.27122025E-06  3.47644962E-06  6.39418169E-01  6.39418169E-01  0.00000000E+00
   11500 -5.56479531E-06 -4.87937095E-06  6.39418524E-01  6.39418524E-01  0.00000000E+00
   11600  1.87718042E-06  1.37155915E-06  6.39426667E-01  6.39426667E-01  0.00000000E+00
   11700 -3.20715001E-06  5.21381728E-06  6.39427464E-01  6.39427464E-01  0.00000000E+00
   11800 -2.02813179E-07 -5.61011808E-06  6.39429213E-01  6.39429213E-01  0.00000000E+00
   11900 -3.36902063E-06  5.04325105E-06  6.39433392E-01  6.39433392E-01  0.00000000E+00
   12000 -1.66388280E-06 -8.47351778E-06  6.39416996E-01  6.39416996E-01  0.00000000E+00
   12100 -2.43090408E-07 -8.76703117E-07  6.39428474E-01  6.39428474E-01  0.00000000E+00
   12200 -2.61679928E-06 -7.90931074E-06  6.39437911E-01  6.39437911E-01  0.00000000E+00
   12300  1.21986489E-07  2.99868597E-06  6.39438915E-01  6.39438915E-01  0.00000000E+00
