#  Iter.   M_avg.    U_Bind.    Susc.
    9671  0.337564  0.565108  0.405012
    9681  0.337066  0.565104  0.405083
    9691  0.336593  0.565096  0.405166
    9701  0.336099  0.565085  0.405260
    9711  0.335638  0.565070  0.405365
    9721  0.335278  0.565054  0.405474
    9731  0.334932  0.565035  0.405586
    9741  0.334665  0.565014  0.405698
    9751  0.334426  0.564992  0.405809
    9761  0.334021  0.564968  0.405927
    9771  0.333752  0.564942  0.406044
    9781  0.333384  0.564914  0.406166
    9791  0.333125  0.564885  0.406288
    9801  0.332916  0.564855  0.406408
    9811  0.332572  0.564822  0.406530
    9821  0.332216  0.564788  0.406657
    9831  0.331724  0.564750  0.406795
    9841  0.331260  0.564710  0.406943
    9851  0.331032  0.564669  0.407090
    9861  0.330853  0.564627  0.407233
    9871  0.330688  0.564585  0.407374
    9881  0.330585  0.564543  0.407510
    9891  0.330519  0.564502  0.407641
    9901  0.330558  0.564462  0.407768
    9911  0.330451  0.564422  0.407891
    9921  0.330334  0.564382  0.408010
    9931  0.330289  0.564343  0.408125
    9941  0.330106  0.564304  0.408237
    9951  0.329920  0.564264  0.408348
    9961  0.329648  0.564222  0.408458
    9971  0.329544  0.564181  0.408565
    9981  0.329383  0.564140  0.408670
    9991  0.329334  0.564099  0.408770
    9001  0.589681  0.661752  0.050706
    9011  0.589745  0.661753  0.050698
    9021  0.589879  0.661753  0.050692
    9031  0.589921  0.661754  0.050686
    9041  0.589999  0.661755  0.050679
    9051  0.590102  0.661755  0.050672
    9061  0.590162  0.661756  0.050666
    9071  0.590257  0.661757  0.050659
    9081  0.590404  0.661758  0.050654
    9091  0.590523  0.661758  0.050650
    9101  0.590680  0.661759  0.050647
    9111  0.590868  0.661759  0.050647
    9121  0.591029  0.661759  0.050649
    9131  0.591153  0.661759  0.050652
    9141  0.591262  0.661758  0.050655
    9151  0.591309  0.661758  0.050657
    9161  0.591404  0.661758  0.050660
    9171  0.591496  0.661758  0.050662
    9181  0.591576  0.661758  0.050665
    9191  0.591696  0.661758  0.050668
    9201  0.591853  0.661758  0.050672
    9211  0.591906  0.661758  0.050677
    9221  0.591944  0.661758  0.050680
    9231  0.591906  0.661758  0.050683
    9241  0.591760  0.661758  0.050687
    9251  0.591669  0.661757  0.050692
    9261  0.591590  0.661757  0.050696
    9271  0.591558  0.661757  0.050699
    9281  0.591493  0.661757  0.050702
    9291  0.591452  0.661757  0.050705
    9301  0.591418  0.661757  0.050707
    9311  0.591544  0.661757  0.050710
    9321  0.591629  0.661756  0.050713
    9331  0.591680  0.661756  0.050715
    9341  0.591675  0.661756  0.050717
    9351  0.591557  0.661756  0.050719
    9361  0.591545  0.661756  0.050721
    9371  0.591547  0.661756  0.050722
    9381  0.591535  0.661756  0.050723
    9391  0.591567  0.661757  0.050723
    9401  0.591641  0.661757  0.050722
    9411  0.591718  0.661757  0.050722
    9421  0.591790  0.661757  0.050722
    9431  0.591846  0.661757  0.050721
    9441  0.591966  0.661758  0.050721
    9451  0.592092  0.661758  0.050722
    9461  0.592239  0.661758  0.050724
    9471  0.592275  0.661758  0.050726
    9481  0.592235  0.661758  0.050727
    9491  0.592200  0.661758  0.050728
    9501  0.592192  0.661758  0.050728
    9511  0.592023  0.661758  0.050730
    9521  0.591982  0.661758  0.050732
    9531  0.591896  0.661758  0.050734
    9541  0.591799  0.661758  0.050736
    9551  0.591683  0.661758  0.050738
    9561  0.591578  0.661758  0.050741
    9571  0.591569  0.661758  0.050743
    9581  0.591516  0.661758  0.050746
    9591  0.591469  0.661757  0.050747
    9601  0.591405  0.661757  0.050749
    9611  0.591278  0.661757  0.050751
    9621  0.591133  0.661757  0.050755
    9631  0.591075  0.661757  0.050758
    9641  0.591113  0.661756  0.050761
    9651  0.591164  0.661756  0.050763
    9661  0.591139  0.661756  0.050765
    9671  0.591133  0.661756  0.050767
    9681  0.591175  0.661756  0.050768
    9691  0.591246  0.661756  0.050769
    9701  0.591344  0.661756  0.050771
    9711  0.591409  0.661756  0.050772
    9721  0.591514  0.661756  0.050773
    9731  0.591671  0.661755  0.050777
    9741  0.591827  0.661755  0.050781
    9751  0.591976  0.661755  0.050787
    9761  0.592101  0.661754  0.050794
    9771  0.592177  0.661754  0.050800
    9781  0.592248  0.661753  0.050807
    9791  0.592163  0.661753  0.050813
    9801  0.592074  0.661752  0.050820
    9811  0.592041  0.661752  0.050826
    9821  0.592091  0.661751  0.050832
    9831  0.592140  0.661751  0.050837
    9841  0.592148  0.661750  0.050842
    9851  0.592243  0.661750  0.050848
    9861  0.592327  0.661750  0.050853
    9871  0.592415  0.661749  0.050858
    9881  0.592492  0.661749  0.050864
    9891  0.592485  0.661748  0.050869
    9901  0.592445  0.661748  0.050873
    9911  0.592421  0.661748  0.050878
    9921  0.592345  0.661748  0.050882
    9931  0.592378  0.661747  0.050885
    9941  0.592363  0.661747  0.050889
    9951  0.592383  0.661747  0.050892
    9961  0.592442  0.661747  0.050894
    9971  0.592513  0.661747  0.050897
    9981  0.592576  0.661747  0.050900
    9991  0.592608  0.661747  0.050902
    9001  0.676812  0.664049  0.041947
    9011  0.676731  0.664050  0.041922
    9021  0.676549  0.664052  0.041900
    9031  0.676423  0.664053  0.041880
    9041  0.676302  0.664054  0.041862
    9051  0.676196  0.664055  0.041844
    9061  0.676121  0.664056  0.041827
    9071  0.676085  0.664057  0.041809
    9081  0.676045  0.664059  0.041791
    9091  0.676028  0.664060  0.041773
    9101  0.675966  0.664061  0.041755
    9111  0.675837  0.664062  0.041739
    9121  0.675780  0.664063  0.041722
    9131  0.675776  0.664064  0.041706
    9141  0.675776  0.664065  0.041689
    9151  0.675680  0.664066  0.041672
    9161  0.675590  0.664067  0.041656
    9171  0.675488  0.664068  0.041641
    9181  0.675346  0.664069  0.041628
    9191  0.675241  0.664069  0.041616
    9201  0.675223  0.664070  0.041603
    9211  0.675200  0.664071  0.041590
    9221  0.675195  0.664072  0.041577
    9231  0.675204  0.664072  0.041564
    9241  0.675204  0.664073  0.041549
    9251  0.675166  0.664074  0.041535
    9261  0.675149  0.664075  0.041521
    9271  0.675138  0.664076  0.041506
    9281  0.675122  0.664077  0.041491
    9291  0.675154  0.664078  0.041475
    9301  0.675190  0.664079  0.041459
    9311  0.675235  0.664079  0.041444
    9321  0.675311  0.664080  0.041428
    9331  0.675382  0.664081  0.041413
    9341  0.675453  0.664082  0.041398
    9351  0.675588  0.664083  0.041385
    9361  0.675664  0.664084  0.041372
    9371  0.675753  0.664085  0.041360
    9381  0.675826  0.664085  0.041347
    9391  0.675890  0.664086  0.041335
    9401  0.675960  0.664087  0.041323
    9411  0.676056  0.664088  0.041312
    9421  0.676161  0.664088  0.041302
    9431  0.676215  0.664089  0.041291
    9441  0.676271  0.664090  0.041281
    9451  0.676376  0.664090  0.041271
    9461  0.676425  0.664091  0.041261
    9471  0.676483  0.664091  0.041251
    9481  0.676538  0.664092  0.041241
    9491  0.676606  0.664093  0.041232
    9501  0.676647  0.664093  0.041222
    9511  0.676749  0.664094  0.041213
    9521  0.676802  0.664095  0.041204
    9531  0.676821  0.664095  0.041194
    9541  0.676841  0.664096  0.041185
    9551  0.676874  0.664097  0.041175
    9561  0.676911  0.664097  0.041164
    9571  0.676968  0.664098  0.041154
    9581  0.676986  0.664099  0.041144
    9591  0.677059  0.664099  0.041134
    9601  0.677170  0.664100  0.041125
    9611  0.677276  0.664101  0.041116
