   #Iter             Tot             Exc             Ani              DM              PD           BiqDM              BQ             Dip          Zeeman             LSF            Chir
    1500  3.56298060E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.56298060E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1550  4.34455146E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.34455146E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1600  2.33545389E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.33545389E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1650  7.55498794E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.55498794E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1700  1.04625179E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.04625179E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1750  2.02647167E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.02647167E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1800  1.72562012E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.72562012E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1850  6.36361073E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.36361073E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1900  1.99664620E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.99664620E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1950  2.13855073E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.13855073E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2000  1.44964591E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.44964591E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2050  6.00148880E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.00148880E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2100  3.67213228E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.67213228E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2150  8.96119334E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  8.96119334E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2200  1.40033743E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.40033743E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2250  1.56546122E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.56546122E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2300  4.16052693E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.16052693E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2350  1.50408366E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.50408366E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2400  6.61552174E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.61552174E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2450  4.91266351E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.91266351E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2500  1.22209259E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.22209259E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2550  7.04265699E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.04265699E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2600  3.26202692E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.26202692E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2650  3.08607478E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.08607478E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2700  2.03593102E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.03593102E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2750  9.21509158E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.21509158E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2800  2.71113285E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.71113285E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2850  5.31152899E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  5.31152899E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2900  2.25098360E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.25098360E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2950  8.10278525E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  8.10278525E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3000  7.06001655E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.06001655E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3050  2.29878387E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.29878387E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3100  3.61500933E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.61500933E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3150  2.81379944E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.81379944E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3200  5.62942118E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00  5.62942118E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3250  1.27714200E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.27714200E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3300  3.01690751E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.01690751E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3350  1.40366575E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.40366575E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3400  1.23940458E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.23940458E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3450  2.82100673E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.82100673E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3500  2.39039597E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.39039597E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3550  1.76301504E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.76301504E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3600  5.79871258E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  5.79871258E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3650  4.49885941E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.49885941E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3700  1.70962400E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.70962400E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3750  9.43272434E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.43272434E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3800  1.48070662E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.48070662E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3850  8.71944034E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  8.71944034E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3900  9.07909482E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.07909482E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3950  6.83844685E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.83844685E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4000  2.83577811E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.83577811E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4050  1.75819488E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.75819488E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4100  1.39091035E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.39091035E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4150  5.42411863E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  5.42411863E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4200  7.49693265E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.49693265E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4250  8.06062847E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  8.06062847E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4300  1.98802958E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.98802958E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4350  2.34526221E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.34526221E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4400  2.18541129E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.18541129E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4450  6.58058491E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.58058491E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4500  1.96955320E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.96955320E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4550  2.20606920E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.20606920E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4600  1.60621842E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.60621842E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4650  7.48738809E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00  7.48738809E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4700  1.30289648E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.30289648E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4750  4.00573610E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.00573610E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4800  1.31935332E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.31935332E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4850  2.97774150E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.97774150E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4900  1.24692055E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.24692055E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4950  3.66410079E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.66410079E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5000  1.08684837E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.08684837E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5050  1.15987061E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.15987061E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5100  1.70589236E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.70589236E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5150  2.25069508E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.25069508E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5200  8.34060728E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  8.34060728E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5250  2.02198724E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.02198724E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5300  1.45158646E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.45158646E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5350  2.19347245E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.19347245E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5400  6.45033828E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.45033828E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5450  6.40479663E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.40479663E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5500  1.26480064E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.26480064E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5550  1.89905171E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.89905171E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5600  1.20885076E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.20885076E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5650  1.01875006E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.01875006E-05  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5700  4.57709580E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  4.57709580E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5750  2.04773396E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.04773396E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5800  1.93769079E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.93769079E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5850  5.37715080E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  5.37715080E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    5900  8.65708907E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  8.65708907E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
