#  Iter.   M_avg.    U_Bind.    Susc.
    9671  0.163698  0.665612  0.012511
    9681  0.163695  0.665612  0.012511
    9691  0.163684  0.665612  0.012510
    9701  0.163687  0.665612  0.012510
    9711  0.163691  0.665612  0.012510
    9721  0.163687  0.665612  0.012510
    9731  0.163687  0.665612  0.012509
    9741  0.163694  0.665612  0.012509
    9751  0.163703  0.665612  0.012509
    9761  0.163707  0.665612  0.012509
    9771  0.163712  0.665612  0.012508
    9781  0.163707  0.665612  0.012508
    9791  0.163710  0.665612  0.012508
    9801  0.163717  0.665612  0.012508
    9811  0.163714  0.665612  0.012507
    9821  0.163712  0.665612  0.012507
    9831  0.163712  0.665612  0.012506
    9841  0.163714  0.665612  0.012506
    9851  0.163720  0.665612  0.012506
    9861  0.163724  0.665612  0.012505
    9871  0.163729  0.665612  0.012505
    9881  0.163729  0.665612  0.012504
    9891  0.163730  0.665613  0.012503
    9901  0.163735  0.665613  0.012503
    9911  0.163737  0.665613  0.012502
    9921  0.163736  0.665613  0.012502
    9931  0.163732  0.665613  0.012501
    9941  0.163736  0.665613  0.012500
    9951  0.163743  0.665613  0.012500
    9961  0.163739  0.665613  0.012499
    9971  0.163740  0.665613  0.012498
    9981  0.163740  0.665613  0.012497
    9991  0.163739  0.665613  0.012497
    9001  0.186285  0.666555  0.004237
    9011  0.186288  0.666555  0.004237
    9021  0.186288  0.666555  0.004237
    9031  0.186293  0.666555  0.004237
    9041  0.186294  0.666555  0.004237
    9051  0.186293  0.666555  0.004237
    9061  0.186295  0.666555  0.004238
    9071  0.186296  0.666555  0.004238
    9081  0.186295  0.666555  0.004238
    9091  0.186294  0.666555  0.004238
    9101  0.186296  0.666555  0.004238
    9111  0.186299  0.666555  0.004238
    9121  0.186296  0.666555  0.004238
    9131  0.186294  0.666555  0.004238
    9141  0.186293  0.666555  0.004238
    9151  0.186290  0.666555  0.004238
    9161  0.186290  0.666555  0.004238
    9171  0.186288  0.666555  0.004238
    9181  0.186286  0.666555  0.004238
    9191  0.186289  0.666555  0.004238
    9201  0.186293  0.666555  0.004239
    9211  0.186298  0.666555  0.004239
    9221  0.186297  0.666555  0.004239
    9231  0.186297  0.666555  0.004239
    9241  0.186297  0.666555  0.004239
    9251  0.186297  0.666555  0.004239
    9261  0.186298  0.666555  0.004239
    9271  0.186299  0.666555  0.004239
    9281  0.186302  0.666555  0.004239
    9291  0.186300  0.666555  0.004239
